INFO:tensorflow:step: 3240, lr: 0.000751, klw: 0.1456, cost: 0.1636, recon: 0.1345, kl: 0.2000, train_time_taken: 8.2066
INFO:tensorflow:step: 3260, lr: 0.000750, klw: 0.1463, cost: 0.1723, recon: 0.1411, kl: 0.2134, train_time_taken: 8.2631
INFO:tensorflow:step: 3280, lr: 0.000748, klw: 0.1470, cost: 0.2048, recon: 0.1745, kl: 0.2060, train_time_taken: 8.3310
INFO:tensorflow:step: 3300, lr: 0.000747, klw: 0.1477, cost: 0.2049, recon: 0.1754, kl: 0.2000, train_time_taken: 8.2343
INFO:tensorflow:step: 3320, lr: 0.000746, klw: 0.1484, cost: 0.1952, recon: 0.1647, kl: 0.2058, train_time_taken: 8.5732
INFO:tensorflow:step: 3340, lr: 0.000744, klw: 0.1491, cost: 0.1788, recon: 0.1489, kl: 0.2005, train_time_taken: 8.4016
INFO:tensorflow:step: 3360, lr: 0.000743, klw: 0.1498, cost: 0.1613, recon: 0.1313, kl: 0.2000, train_time_taken: 8.4537
INFO:tensorflow:step: 3380, lr: 0.000742, klw: 0.1505, cost: 0.1919, recon: 0.1614, kl: 0.2024, train_time_taken: 8.4155
INFO:tensorflow:step: 3400, lr: 0.000741, klw: 0.1512, cost: 0.1581, recon: 0.1278, kl: 0.2000, train_time_taken: 8.1810
INFO:tensorflow:step: 3420, lr: 0.000739, klw: 0.1519, cost: 0.1944, recon: 0.1638, kl: 0.2009, train_time_taken: 8.2773
INFO:tensorflow:step: 3440, lr: 0.000738, klw: 0.1526, cost: 0.1702, recon: 0.1397, kl: 0.2000, train_time_taken: 8.3171
INFO:tensorflow:step: 3460, lr: 0.000737, klw: 0.1533, cost: 0.1431, recon: 0.1106, kl: 0.2124, train_time_taken: 8.2728
INFO:tensorflow:step: 3480, lr: 0.000735, klw: 0.1540, cost: 0.1789, recon: 0.1481, kl: 0.2000, train_time_taken: 8.3217
INFO:tensorflow:step: 3500, lr: 0.000734, klw: 0.1547, cost: 0.1439, recon: 0.1127, kl: 0.2016, train_time_taken: 8.2022
INFO:tensorflow:step: 3520, lr: 0.000733, klw: 0.1554, cost: 0.1636, recon: 0.1325, kl: 0.2000, train_time_taken: 8.2697
INFO:tensorflow:step: 3540, lr: 0.000732, klw: 0.1561, cost: 0.1475, recon: 0.1156, kl: 0.2043, train_time_taken: 8.3553
INFO:tensorflow:step: 3560, lr: 0.000730, klw: 0.1568, cost: 0.1749, recon: 0.1425, kl: 0.2066, train_time_taken: 8.3927
INFO:tensorflow:step: 3580, lr: 0.000729, klw: 0.1575, cost: 0.1528, recon: 0.1213, kl: 0.2000, train_time_taken: 8.2756
INFO:tensorflow:step: 3600, lr: 0.000728, klw: 0.1581, cost: 0.1633, recon: 0.1316, kl: 0.2000, train_time_taken: 8.1761
INFO:tensorflow:step: 3620, lr: 0.000727, klw: 0.1588, cost: 0.1921, recon: 0.1596, kl: 0.2046, train_time_taken: 8.3999
INFO:tensorflow:step: 3640, lr: 0.000725, klw: 0.1595, cost: 0.1706, recon: 0.1385, kl: 0.2014, train_time_taken: 8.4026
INFO:tensorflow:step: 3660, lr: 0.000724, klw: 0.1602, cost: 0.1334, recon: 0.1006, kl: 0.2047, train_time_taken: 8.2146
INFO:tensorflow:step: 3680, lr: 0.000723, klw: 0.1609, cost: 0.1343, recon: 0.1018, kl: 0.2020, train_time_taken: 8.1941
INFO:tensorflow:step: 3700, lr: 0.000722, klw: 0.1615, cost: 0.1820, recon: 0.1487, kl: 0.2057, train_time_taken: 8.1828
INFO:tensorflow:step: 3720, lr: 0.000720, klw: 0.1622, cost: 0.1419, recon: 0.1095, kl: 0.2000, train_time_taken: 8.2983
INFO:tensorflow:step: 3740, lr: 0.000719, klw: 0.1629, cost: 0.1538, recon: 0.1203, kl: 0.2057, train_time_taken: 8.2780
INFO:tensorflow:step: 3760, lr: 0.000718, klw: 0.1636, cost: 0.1533, recon: 0.1185, kl: 0.2132, train_time_taken: 8.3124
INFO:tensorflow:step: 3780, lr: 0.000717, klw: 0.1642, cost: 0.1706, recon: 0.1358, kl: 0.2122, train_time_taken: 8.2877
